duty_date,base,staff_id,is_half_day
2026-10-01,Ha Noi,12724,False
2026-10-02,Ha Noi,12962,False
2026-10-03,Ha Noi,15481,False
2026-10-04,Ha Noi,18541,False
2026-10-05,Ha Noi,19290,False
2026-10-06,Ha Noi,19320,False
2026-10-07,Ha Noi,19358,False
2026-10-08,Ha Noi,20807,False
2026-10-09,Ha Noi,27623,False
2026-10-10,Ha Noi,28142,False
2026-10-11,Ha Noi,30022,False
2026-10-12,Ha Noi,30033,False
2026-10-13,Ha Noi,0396,False
2026-10-15,Ha Noi,19418,False
2026-10-16,Ha Noi,33464,False
2026-10-17,Ha Noi,12724,False
2026-10-18,Ha Noi,12962,False
2026-10-19,Ha Noi,15481,False
2026-10-20,Ha Noi,18541,False
2026-10-21,Ha Noi,19290,False
2026-10-22,Ha Noi,19320,False
2026-10-23,Ha Noi,19358,False
2026-10-24,Ha Noi,20807,False
2026-10-25,Ha Noi,27623,False
2026-10-26,Ha Noi,28142,False
2026-10-27,Ha Noi,30022,False
2026-10-29,Ha Noi,0396,False
2026-10-30,Ha Noi,8205,False
2026-10-31,Ha Noi,19418,False
2026-10-11,Ha Noi,19343,False
2026-10-17,Ha Noi,19358,False
2026-10-18,Ha Noi,19320,False
2026-10-24,Ha Noi,19290,False
2026-10-31,Ha Noi,30033,False
2026-10-03,Ha Noi,3863,False
2026-10-25,Ha Noi,33464,False
2026-10-04,Ha Noi,20867,False
2026-10-10,Ha Noi,3387,False
2026-10-01,Ha Noi,12281,False
2026-10-01,Ha Noi,10202,False
2026-10-02,Ha Noi,15885,False
2026-10-02,Ha Noi,19292,False
2026-10-03,Ha Noi,19339,False
2026-10-03,Ha Noi,19308,False
2026-10-04,Ha Noi,16783,False
2026-10-04,Ha Noi,15888,False
2026-10-05,Ha Noi,16784,False
2026-10-05,Ha Noi,18362,False
2026-10-06,Ha Noi,16801,False
2026-10-06,Ha Noi,19286,False
2026-10-07,Ha Noi,16803,False
2026-10-07,Ha Noi,19288,False
2026-10-08,Ha Noi,18349,False
